Date Time,Water Level,SiteID,Source,Date,Time,Identifier
2017-08-20 15:30:00-04:00,3.15,8557380,NOAA,2017-08-20,15:30:00,8557380-2017-232
2017-08-21 16:18:00-04:00,2.904,8557380,NOAA,2017-08-21,16:18:00,8557380-2017-233
2017-08-22 17:06:00-04:00,2.687,8557380,NOAA,2017-08-22,17:06:00,8557380-2017-234
2017-08-23 17:54:00-04:00,2.94,8557380,NOAA,2017-08-23,17:54:00,8557380-2017-235
2017-08-24 18:36:00-04:00,2.677,8557380,NOAA,2017-08-24,18:36:00,8557380-2017-236
2017-08-25 07:00:00-04:00,2.418,8557380,NOAA,2017-08-25,07:00:00,8557380-2017-237
2017-08-26 07:48:00-04:00,2.257,8557380,NOAA,2017-08-26,07:48:00,8557380-2017-238
2017-08-27 08:48:00-04:00,2.329,8557380,NOAA,2017-08-27,08:48:00,8557380-2017-239
2017-08-28 09:24:00-04:00,2.605,8557380,NOAA,2017-08-28,09:24:00,8557380-2017-240
2017-08-29 10:30:00-04:00,3.182,8557380,NOAA,2017-08-29,10:30:00,8557380-2017-241
2017-08-29 22:42:00-04:00,2.789,8557380,NOAA,2017-08-29,22:42:00,8557380-2017-242
2017-08-31 12:24:00-04:00,2.123,8557380,NOAA,2017-08-31,12:24:00,8557380-2017-243
2017-09-01 13:06:00-04:00,2.569,8557380,NOAA,2017-09-01,13:06:00,8557380-2017-244
2017-09-02 14:00:00-04:00,2.766,8557380,NOAA,2017-09-02,14:00:00,8557380-2017-245
2017-09-03 14:42:00-04:00,2.772,8557380,NOAA,2017-09-03,14:42:00,8557380-2017-246
2017-09-04 15:18:00-04:00,2.431,8557380,NOAA,2017-09-04,15:18:00,8557380-2017-247
2017-09-05 16:12:00-04:00,2.326,8557380,NOAA,2017-09-05,16:12:00,8557380-2017-248
2017-09-06 16:42:00-04:00,2.493,8557380,NOAA,2017-09-06,16:42:00,8557380-2017-249
2017-09-07 17:18:00-04:00,2.336,8557380,NOAA,2017-09-07,17:18:00,8557380-2017-250
2017-09-08 18:00:00-04:00,2.139,8557380,NOAA,2017-09-08,18:00:00,8557380-2017-251
2017-09-09 06:30:00-04:00,2.369,8557380,NOAA,2017-09-09,06:30:00,8557380-2017-252
2017-09-10 07:18:00-04:00,2.533,8557380,NOAA,2017-09-10,07:18:00,8557380-2017-253
2017-09-11 08:06:00-04:00,2.461,8557380,NOAA,2017-09-11,08:06:00,8557380-2017-254
2017-09-12 09:12:00-04:00,2.595,8557380,NOAA,2017-09-12,09:12:00,8557380-2017-255
2017-09-13 10:00:00-04:00,2.851,8557380,NOAA,2017-09-13,10:00:00,8557380-2017-256
2017-09-14 11:18:00-04:00,2.927,8557380,NOAA,2017-09-14,11:18:00,8557380-2017-257
2017-09-15 12:18:00-04:00,2.828,8557380,NOAA,2017-09-15,12:18:00,8557380-2017-258
2017-09-16 13:30:00-04:00,2.904,8557380,NOAA,2017-09-16,13:30:00,8557380-2017-259
2017-09-17 14:24:00-04:00,3.215,8557380,NOAA,2017-09-17,14:24:00,8557380-2017-260
2017-09-18 15:12:00-04:00,3.75,8557380,NOAA,2017-09-18,15:12:00,8557380-2017-261
2017-09-19 16:00:00-04:00,4.583,8557380,NOAA,2017-09-19,16:00:00,8557380-2017-262
2017-09-20 16:48:00-04:00,3.537,8557380,NOAA,2017-09-20,16:48:00,8557380-2017-263
2017-09-21 17:36:00-04:00,3.238,8557380,NOAA,2017-09-21,17:36:00,8557380-2017-264
2017-09-22 05:54:00-04:00,3.734,8557380,NOAA,2017-09-22,05:54:00,8557380-2017-265
